id,skills_in_desc
123433845,Airflow
123433845,Git
123433845,Linux
123433845,Pandas
123455569,SQL
123455569,Python
123455569,Excel
123455569,PostgreSQL
123455569,Git
123455569,Docker
123455569,Pandas
123455569,NumPy
123391534,MongoDB
123391534,Redis
123391534,REST API
123433002,SQL
123433002,Kafka
123433002,Jira
123433002,Confluence
123466009,Power BI
123466009,Jira
123466009,Confluence
123394835,SQL
123394835,Java
123394835,PostgreSQL
123394835,Oracle
123394835,Redis
123394835,CI/CD
123394835,Docker
123394835,Kubernetes
123394835,Linux
123394835,Математика
123421376,SQL
123421376,Python
123421376,PostgreSQL
123421376,ClickHouse
123421376,Kafka
123421376,Airflow
123421376,ETL
123421376,ELT
123421376,ML
123421376,Git
123331119,SQL
123331119,Superset
123363193,SQL
123363193,Python
123363193,Metabase
123363193,Airflow
123363193,dbt
123363193,AI
123363193,Git
123363193,Pandas
123363193,NumPy
119422121,MongoDB
119422121,Scrum
119422121,Agile
119422121,Kanban
123322236,SQL
123322236,Python
123322236,Redis
123322236,Hadoop
123322236,Airflow
123322236,ML
123322236,NLP
123322236,Docker
123322236,Kubernetes
123322236,Pandas
123322236,NumPy
123322236,PyTorch
123322236,Математика
123471220,Python
123471220,Hadoop
123471220,Spark
123471220,Hive
123471220,ML
123471220,NLP
123471220,Pandas
123471220,NumPy
123471220,Scikit-learn
123471220,PyTorch
123471220,XGBoost
123471220,CatBoost
123471220,LightGBM
123418753,SQL
123363737,SQL
123363737,DWH
123363737,ETL
123363737,ELT
123363737,Agile
123327732,SQL
123327732,Python
123327732,R
123327732,Power BI
123327732,Tableau
123327732,Excel
123327732,Google Sheets
123327732,ML
123327732,AI
123510162,SQL
123510162,R
123510162,Scrum
123510162,Agile
123510162,Jira
123510162,Confluence
123394509,SQL
123394509,Scrum
123394509,Agile
123394509,Kanban
123512216,Machine Learning
123334440,SQL
123334440,Python
123334440,Power BI
123334440,Tableau
123334440,Excel
123334440,PostgreSQL
123334440,MySQL
123334440,ClickHouse
123334440,ETL
123466601,SQL
123466601,Greenplum
123466601,Spark
123466601,Hive
123466601,Airflow
123466601,ETL
123466601,ELT
123466601,dbt
123466601,Git
123388358,SQL
123528412,Excel
123528412,Scrum
123528412,Agile
123413739,Python
123413739,Pandas
123413739,NumPy
123413739,SciPy
123413739,Математика
123413739,Статистика
123413739,Теория Вероятностей
123414998,SQL
123414998,Python
123414998,PostgreSQL
123414998,Kafka
123414998,Scrum
123414998,Agile
123414998,CI/CD
123414998,Docker
123517347,1C
123517347,Qlik
123517347,Excel
123328494,SQL
